model,task,metric,estimate,baseline_input,aperiodic_input,flattened_input,point,ci_lower,ci_upper,ci,n_folds,n_bootstrap
raw_cnn,wake_vs_sleep,macro_f1,raw_eeg,raw_eeg,phase_aperiodic,phase_flattened,0.9407868427836433,0.9202390498635136,0.9564795992539196,0.95,5,10000
raw_cnn,wake_vs_sleep,macro_f1,phase_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.9047295423587405,0.8743603701668231,0.935098714550658,0.95,5,10000
raw_cnn,wake_vs_sleep,macro_f1,phase_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.2184139818730681,0.15637326230352186,0.31655845361001556,0.95,5,10000
raw_cnn,wake_vs_sleep,macro_f1,retention_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.9616732518088636,0.938362509230821,0.9903194112868455,0.95,5,10000
raw_cnn,wake_vs_sleep,macro_f1,retention_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.2321609656304448,0.16923825132574807,0.33351792565940863,0.95,5,10000
raw_cnn,wake_vs_sleep,macro_f1,drop_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.03605730042490285,0.009154370102793963,0.05761627183402285,0.95,5,10000
raw_cnn,wake_vs_sleep,macro_f1,drop_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.7223728609105753,0.6309772338035156,0.7779567371229852,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,raw_eeg,raw_eeg,phase_aperiodic,phase_flattened,0.9653136314183023,0.9530770132707035,0.9733485469385184,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,phase_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.9467133373504624,0.9284594128101723,0.9650875483185167,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,phase_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.23707209140689206,0.1761667442559395,0.3286866140187742,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,retention_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.9807313463081309,0.9686594659064149,0.9957868286808442,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,retention_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.24559074241867915,0.18375632884442605,0.33831850804925895,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,drop_aperiodic,raw_eeg,phase_aperiodic,phase_flattened,0.018600294067839918,0.004084734198882997,0.030189985053444945,0.95,5,10000
raw_cnn,wake_vs_sleep,accuracy,drop_flattened,raw_eeg,phase_aperiodic,phase_flattened,0.7282415400114102,0.6445325876367622,0.7825308166051501,0.95,5,10000
raw_cnn,n2_vs_n3,balanced_accuracy,raw_eeg,raw_eeg,phase_aperiodic,phase_flattened,0.9363922328525405,0.9143498041768204,0.95475368335723,0.95,5,10000
